parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.19002304760812738,0.08787659944510179,0.20667047107923944
"[7.0, 0.7]",0.006276470872241556,0.0012846922346617135,0.009206896756536475
"[5.0, 0.0]",0.004040330648422241,0.0013933132864032316,0.011890085422630087
"[3.0, -0.5]",0.015614928274315473,0.006766176437223309,0.01773650414832591
"[0.1, 1.0]",5.795292649143009,2.3215442983668755,5.938178843442821
"[0.1, -1.0]",5.807818326823978,2.3090796065212995,5.953697181559693
"[10.0, -1.0]",0.007137178531840718,0.0013483399187056808,0.012857051716702187
"[10.0, -1.0]",0.007137178531840718,0.0013483399187056808,0.012857051716702187
"[0.5, 0.5]",0.31898128068183174,0.14374947612873987,0.3360067507261664
"[6.0, -0.7]",0.004583462596519178,0.0007592424544617788,0.006970804113124698
