parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.1546794129416268,0.06576878157988517,0.19586861187646223
"[7.0, 0.7]",0.005255669355392456,0.0018876013377737931,0.020429267512585263
"[5.0, 0.0]",0.002004951238632202,0.0007612241156881858,0.00527774750977461
"[3.0, -0.5]",0.01203537133232939,0.006163441639315446,0.0358433383872112
"[0.1, 1.0]",5.774260077350406,2.2880387646340163,5.875726474564105
"[0.1, -1.0]",5.6809151505163,2.2554454608145376,5.747581446325681
"[10.0, -1.0]",0.010153442621231079,0.003189113203573155,0.020241271353135082
"[10.0, -1.0]",0.010153442621231079,0.003189113203573155,0.020241271353135082
"[0.5, 0.5]",0.319655980693467,0.1342929431515416,0.3178715378940032
"[6.0, -0.7]",0.006103634834289551,0.002874110706785976,0.021096817562938384
