parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.2588654646371581,0.12385727730088424,0.28225084257493427
"[7.0, 0.7]",0.009144842624664307,0.0019787198283767026,0.02609441425930559
"[5.0, 0.0]",0.0020944178104400635,0.0008802968494029991,0.0071377441986296974
"[3.0, -0.5]",0.004888787865638733,0.002080019560781933,0.011474119597120464
"[0.1, 1.0]",6.013232145183353,2.4211038805594427,6.152138609938276
"[0.1, -1.0]",5.973598155849246,2.4062983979251813,6.1278948078536155
"[10.0, -1.0]",0.009044468402862549,0.002505323637121131,0.025815955563958725
"[10.0, -1.0]",0.009044468402862549,0.002505323637121131,0.025815955563958725
"[0.5, 0.5]",0.40750658278096885,0.18329408589813764,0.42358156089914717
"[6.0, -0.7]",0.008346974373443311,0.002338292254194007,0.009614081560886114
