parameters,error_inf,error_2,error_H1
"[1, 1]",1.0403933298208656e-08,4.908966495161133e-09,3.7694637529462224e-08
"[7, 0.7]",3.751212881986099e-11,1.7837859637881436e-11,1.3641899060322216e-10
"[5, 0]",0.0,0.0,0.0
"[3, -0.5]",2.6463518321140356e-09,1.2562098053259102e-09,9.61625108494017e-09
"[0.1, 1]",3.528860652579624e-07,1.5578055348622863e-07,1.2086012449887774e-06
"[0.1, -1]",3.528860652579624e-07,1.5578055348622863e-07,1.2086012449887774e-06
"[10, -1]",4.4424830827893835e-10,2.1133380374783234e-10,1.6158665605312662e-09
"[0.5, 0.5]",8.734882425698309e-08,4.085163583530796e-08,3.149458970128566e-07
"[6, -0.7]",3.303657451769748e-10,1.5706240225956276e-10,1.2013115375174328e-09
