parameters,error_inf,error_2
"[1.0, 1.0]",0.0689847299277685,0.9791356712382093
"[7.0, 0.7]",0.0034000128507614136,0.037878046585665605
"[5.0, 0.0]",0.00236336886882782,0.04060557384680496
"[3.0, -0.5]",0.00389726459980011,0.020622914595255747
"[0.1, 1.0]",5.144936348269322,63.601424496834156
"[0.1, -1.0]",5.023976836078433,60.17446259692823
"[10.0, -1.0]",0.007982045412063599,0.08354237948928954
"[10.0, -1.0]",0.007982045412063599,0.08354237948928954
"[0.5, 0.5]",0.24006222760413398,3.145643116088231
"[6.0, -0.7]",0.0038430597801524975,0.06788546682748887
