parameters,error_inf,error_2
"[1.0, 1.0]",0.25725438724010397,3.4427368584949676
"[7.0, 0.7]",0.009709775447845459,0.04852799455094975
"[5.0, 0.0]",0.0023085176944732666,0.03457986270468599
"[3.0, -0.5]",0.026211816543890196,0.37031650336547106
"[0.1, 1.0]",5.847837004535465,68.69725516053029
"[0.1, -1.0]",5.6846638058355135,67.71788492899918
"[10.0, -1.0]",0.017544596544459737,0.2367335131315326
"[10.0, -1.0]",0.017544596544459737,0.2367335131315326
"[0.5, 0.5]",0.37219744526065146,4.85551385458167
"[6.0, -0.7]",0.006079167127609253,0.062143845667211706
