parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.059012651443481445,0.021378326438896138,0.09130738148593265
"[7.0, 0.7]",0.005327820777893066,0.0006992063353427821,0.011956954581723259
"[5.0, 0.0]",0.0030031800270080566,0.0015148764901319212,0.008785503342037773
"[3.0, -0.5]",0.011409852737315498,0.0034724544298513987,0.013440773364611514
"[0.1, 1.0]",4.877750266373587,1.9352318544080924,4.839039797618031
"[0.1, -1.0]",5.259592402756644,2.0525167472367483,5.219882319682531
"[10.0, -1.0]",0.002703770708468157,0.001289297043558496,0.010917164386666465
"[10.0, -1.0]",0.002703770708468157,0.001289297043558496,0.010917164386666465
"[0.5, 0.5]",0.1821839469224159,0.06999168185214896,0.1715510579580548
"[6.0, -0.7]",0.002891408121487374,0.0008245006344186714,0.01006009332394968
