iterations,error_inf,error_2
1000,0.11239385604858398,1.4853535699069789
1000,0.11239385604858398,1.4853535699069789
2000,0.07834404706954956,0.7029930703038558
2000,0.07834404706954956,0.7029930703038558
5000,0.054503291845321655,0.8844102694721382
5000,0.054503291845321655,0.8844102694721382
8000,0.023188740015029907,0.3032398759578722
8000,0.023188740015029907,0.3032398759578722
10000,0.03582116961479187,0.210186049963292
10000,0.03582116961479187,0.210186049963292
20000,0.06954038143157959,0.6557110847507213
20000,0.06954038143157959,0.6557110847507213
