parameters,error_inf,error_2
"[1.0, 1.0]",0.044832892064259444,0.2681464785531842
"[7.0, 0.7]",0.007391571998596191,0.049663556136901287
"[5.0, 0.0]",0.0035916566848754883,0.02291579923077129
"[3.0, -0.5]",0.006090065215863291,0.062392494288655904
"[0.1, 1.0]",4.214329991214542,49.059629660759825
"[0.1, -1.0]",4.480994019382266,52.281416721563666
"[10.0, -1.0]",0.00983971357345581,0.09771666145525691
"[10.0, -1.0]",0.00983971357345581,0.09771666145525691
"[0.5, 0.5]",0.0419006135534411,0.18916700171340134
"[6.0, -0.7]",0.004919543386085218,0.047413607490551915
