iterations,error_inf,error_2,error_semi_H1
1000,0.0672542154788971,0.014934091071486879,0.189072040388638
1000,0.0672542154788971,0.014934091071486879,0.189072040388638
2000,0.10744771361351013,0.049167162430544385,0.41741533062348674
2000,0.10744771361351013,0.049167162430544385,0.41741533062348674
5000,0.024196892976760864,0.013442018320361408,0.1100095491007476
5000,0.024196892976760864,0.013442018320361408,0.1100095491007476
8000,0.034778304398059845,0.018145111450174656,0.19300090733419564
8000,0.034778304398059845,0.018145111450174656,0.19300090733419564
10000,0.016288965940475464,0.005116828220852401,0.06272194323781084
10000,0.016288965940475464,0.005116828220852401,0.06272194323781084
20000,0.010889753699302673,0.004614368303135997,0.061166278519693085
20000,0.010889753699302673,0.004614368303135997,0.061166278519693085
