parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.0641163179372527,0.027479547479721395,0.08321258802019978
"[7.0, 0.7]",0.0036504942366290052,0.0020179025403751654,0.015131246332972612
"[5.0, 0.0]",0.002395927906036377,0.0007041534384950974,0.009204964098533925
"[3.0, -0.5]",0.012828800910838448,0.00454624330630037,0.020475879576762248
"[0.1, 1.0]",5.317064556949405,2.1435302618722676,5.432195879022915
"[0.1, -1.0]",5.208385262363223,2.1202843515707785,5.304167188415164
"[10.0, -1.0]",0.007199704647064209,0.001278865360405276,0.018614564677849853
"[10.0, -1.0]",0.007199704647064209,0.001278865360405276,0.018614564677849853
"[0.5, 0.5]",0.20312826101411552,0.08692316015175537,0.20820398374230942
"[6.0, -0.7]",0.0030763745307922363,0.0006801950621947093,0.008626227841372233
