parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.05690540373325348,0.01985324239875657,0.10211469948939428
"[7.0, 0.7]",0.00957469642162323,0.0012943670019802702,0.021558950041294003
"[5.0, 0.0]",0.0010571032762527466,0.0005551892445384307,0.004364176588168955
"[3.0, -0.5]",0.009718045592308044,0.0022891196683921533,0.028125533517234055
"[0.1, 1.0]",5.238406691425113,2.0477689766128573,5.253117450553251
"[0.1, -1.0]",5.434584844887686,2.165040887479859,5.463522866644173
"[10.0, -1.0]",0.01442025601863861,0.002454872982252849,0.02847299376890541
"[10.0, -1.0]",0.01442025601863861,0.002454872982252849,0.02847299376890541
"[0.5, 0.5]",0.18063871328462333,0.07705028005903528,0.1856361844287938
"[6.0, -0.7]",0.011303320527076721,0.0012846135014300498,0.023910762476325127
