parameters,error_inf,error_2
"[1.0, 1.0]",0.09897066652774811,1.13211686487524
"[7.0, 0.7]",0.012089267373085022,0.13069499437715842
"[5.0, 0.0]",0.007948890328407288,0.14322030395300123
"[3.0, -0.5]",0.01931096613407135,0.2098915075297783
"[0.1, 1.0]",3.9911311753396514,46.4656925610388
"[0.1, -1.0]",3.715467009418277,44.19217011775738
"[10.0, -1.0]",0.013795986771583557,0.13558649940049858
"[10.0, -1.0]",0.013795986771583557,0.13558649940049858
"[0.5, 0.5]",0.11273243601619642,1.3919310482433092
"[6.0, -0.7]",0.017333760857582092,0.17498691764077257
