parameters,error_inf,error_2,error_H1
"[1, 1]",1.4451092988920777e-08,6.766706167896772e-09,5.210178803324646e-08
"[7, 0.7]",5.126512409026063e-11,2.4196988824375137e-11,1.8558888615641537e-10
"[5, 0]",0.0,0.0,0.0
"[3, -0.5]",1.307998431787638e-10,6.162676090196093e-11,4.731015101913355e-10
"[0.1, 1]",3.63497731044049e-05,1.5875470339330613e-05,0.00012342020088387348
"[0.1, -1]",3.63497731044049e-05,1.5875470339330613e-05,0.00012342020088387348
"[10, -1]",4.553718513378158e-13,2.1505014043776833e-13,1.6484988625181885e-12
"[0.5, 0.5]",3.788894972767132e-08,1.7582086626050018e-08,1.358975094495284e-07
"[6, -0.7]",8.423960834447186e-11,3.975197816734326e-11,3.049290020004049e-10
