parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.3745155760466955,0.1753323126590952,0.4260426740847393
"[7.0, 0.7]",0.014910846948623657,0.0027598395427139762,0.031265852935528395
"[5.0, 0.0]",0.00176924467086792,0.0007105911670651924,0.004676141906331841
"[3.0, -0.5]",0.021703202003790098,0.010718849381597789,0.038209141613134656
"[0.1, 1.0]",6.217311028116016,2.511225262259588,6.439495405642063
"[0.1, -1.0]",6.208007577531604,2.50062413717311,6.447729962464695
"[10.0, -1.0]",0.01356834088917104,0.004862634832346603,0.03705409087282117
"[10.0, -1.0]",0.01356834088917104,0.004862634832346603,0.03705409087282117
"[0.5, 0.5]",0.48522313511107673,0.21498737260552278,0.5256104196585484
"[6.0, -0.7]",0.016076654195785522,0.0015365264125059926,0.027020597143057944
