iterations,error_inf,error_2
1000,6.570549342506198,77.33776618964411
2000,6.384773526065616,75.16808425444282
5000,5.673488054149417,65.53588594982531
8000,5.519348058574466,63.762062579372525
10000,5.518305692546634,63.736015747353555
20000,5.215940270297794,61.29317844247504
