parameters,error_inf,error_2,error_H1
"[1, 1]",3.137809420628024e-08,1.4734441847183901e-08,1.1333461347965094e-07
"[7, 0.7]",4.423729091374007e-11,2.0937593034658978e-11,1.6041374772229994e-10
"[5, 0]",0.0,0.0,0.0
"[3, -0.5]",1.0769641428653998e-10,5.088291003424329e-11,3.9020086965874463e-10
"[0.1, 1]",1.579685888808413e-05,6.925796191689889e-06,5.3802012931973733e-05
"[0.1, -1]",1.579685888808413e-05,6.925796191689889e-06,5.3802012931973733e-05
"[10, -1]",1.6028844918025698e-15,7.816214394935795e-16,5.42584388352427e-15
"[0.5, 0.5]",9.451886462397141e-08,4.398617457748e-08,3.3965615363010853e-07
"[6, -0.7]",6.675749536499964e-11,3.158948742438943e-11,2.4205137969309485e-10
