parameters,error_inf,error_2
"[1.0, 1.0]",0.03050470229729163,0.4451281626312949
"[7.0, 0.7]",0.0038870333114745335,0.03340523459013077
"[5.0, 0.0]",0.0026687141507864,0.04192692946213855
"[3.0, -0.5]",0.00928844147337278,0.04139001643449534
"[0.1, 1.0]",4.34230783926752,49.848998063291724
"[0.1, -1.0]",4.212692845642996,47.74639966807991
"[10.0, -1.0]",0.008901214227080345,0.0788375927333198
"[10.0, -1.0]",0.008901214227080345,0.0788375927333198
"[0.5, 0.5]",0.11700550371878549,1.654546304563992
"[6.0, -0.7]",0.006210025793798878,0.046549310045494514
