parameters,error_inf,error_2
"[1.0, 1.0]",0.03658533776204387,0.29728185816100455
"[7.0, 0.7]",0.0036791984761539095,0.029789106518865873
"[5.0, 0.0]",0.0018418729305267334,0.014583076688036505
"[3.0, -0.5]",0.011059586042292915,0.07362902217359914
"[0.1, 1.0]",4.928741845958499,56.04369484862289
"[0.1, -1.0]",4.851576957576541,56.11776822727627
"[10.0, -1.0]",0.003836511722758687,0.03151342848887468
"[10.0, -1.0]",0.003836511722758687,0.03151342848887468
"[0.5, 0.5]",0.1368418244097065,2.0815578481697394
"[6.0, -0.7]",0.0032803015962141364,0.02838324826660912
