parameters,error_inf,error_2
"[1.0, 1.0]",0.03982633352279663,0.5982289306203733
"[7.0, 0.7]",0.008363485336303711,0.1459568170924794
"[5.0, 0.0]",0.0033534765243530273,0.08353174949078332
"[3.0, -0.5]",0.012911319732666016,0.08674579549073819
"[0.1, 1.0]",3.901118788593082,44.99073968032546
"[0.1, -1.0]",3.7087960575750154,43.57243854363196
"[10.0, -1.0]",0.01772981882095337,0.12625470269042655
"[10.0, -1.0]",0.01772981882095337,0.12625470269042655
"[0.5, 0.5]",0.08289013568986625,1.1577796836736647
"[6.0, -0.7]",0.012754380702972412,0.059486138387774105
