parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.11695262024575392,0.05210080873372556,0.33302233364522166
"[7.0, 0.7]",0.026614010334014893,0.0047924751674608005,0.06714935490851313
"[5.0, 0.0]",0.005145072937011719,0.0033350727258622294,0.021336353215920357
"[3.0, -0.5]",0.0207253098487854,0.004468185559176103,0.07581989588622669
"[0.1, 1.0]",4.880727801196842,1.9446929177904921,4.917795582414633
"[0.1, -1.0]",4.858507428043155,1.8932194853659088,4.851914248334162
"[10.0, -1.0]",0.04764282703399658,0.014205273449168176,0.128520341867477
"[10.0, -1.0]",0.04764282703399658,0.014205273449168176,0.128520341867477
"[0.5, 0.5]",0.25021582447207724,0.10524484528360732,0.30631409640490787
"[6.0, -0.7]",0.028828084468841553,0.007447927005333987,0.07090434339506044
