iterations,error_inf,error_2,error_semi_H1
1000,6.577790979020862,2.6339535262174936,6.898312308885487
2000,6.733711838447122,2.7152081480968593,7.104247183156616
5000,5.990712437503604,2.333634255625643,6.212083036734392
8000,5.849463019244937,2.329968450234483,6.029205283053709
10000,5.588994417064456,2.301898579559859,5.685106349568148
20000,4.699793566048575,1.83323610835481,4.6880623169196785
