iterations,error_inf,error_2,error_semi_H1
1000,0.5852839258882832,0.265324485831309,0.866269400256775
2000,0.6283903812441658,0.2798366265526898,0.7921668308516016
5000,0.327941706535561,0.15618266536456857,0.458883890711978
8000,0.29805316602919807,0.12900856637944683,0.4207203531863998
10000,0.27261128599941176,0.13106879588937229,0.31751125667335334
20000,0.20262991987384116,0.0810332484172325,0.2108807454090649
