parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.12713166604488302,0.050956301995048754,0.14206644512210984
"[7.0, 0.7]",0.010374993085861206,0.0010808249589375073,0.016725566800592992
"[5.0, 0.0]",0.0030167996883392334,0.0010459800305303536,0.0128485481396531
"[3.0, -0.5]",0.00623360276222229,0.0008305454331669455,0.010965265481788541
"[0.1, 1.0]",5.734220418803958,2.2439764938385522,5.811015347099429
"[0.1, -1.0]",6.002203378551273,2.3634611352046067,6.102398837702548
"[10.0, -1.0]",0.008393257856369019,0.0030679873926112195,0.04394776365220645
"[10.0, -1.0]",0.008393257856369019,0.0030679873926112195,0.04394776365220645
"[0.5, 0.5]",0.32106279932177817,0.12766816764899042,0.30745476899112867
"[6.0, -0.7]",0.01348462700843811,0.0045532031646133035,0.027968512283771983
