parameters,error_inf,error_2,error_semi_H1
"[1.0, 1.0]",0.09228479862213135,0.03595419219090269,0.28362095240304286
"[7.0, 0.7]",0.013813376426696777,0.0035055828663450098,0.05848445216963916
"[5.0, 0.0]",0.0043770670890808105,0.002180619443380997,0.021929786107936264
"[3.0, -0.5]",0.02806377410888672,0.007276897964038476,0.09940086786873366
"[0.1, 1.0]",4.8594029282262605,1.9087064611804656,5.042036901339397
"[0.1, -1.0]",4.970377001636295,1.9491995576245307,5.156854087728331
"[10.0, -1.0]",0.013057053089141846,0.0037657492020914942,0.05933051896115889
"[10.0, -1.0]",0.013057053089141846,0.0037657492020914942,0.05933051896115889
"[0.5, 0.5]",0.1192787950681965,0.05515745411131743,0.27787061814929953
"[6.0, -0.7]",0.026042520999908447,0.010408895321664694,0.08493265783187658
