parameters,error_inf,error_2
"[1.0, 1.0]",0.052921599988148604,0.23854449011126172
"[7.0, 0.7]",0.007583558559417725,0.09486111236199443
"[5.0, 0.0]",0.0053743720054626465,0.08695303015911045
"[3.0, -0.5]",0.00923159081750173,0.14187810699389858
"[0.1, 1.0]",4.719021830432681,56.53894316109083
"[0.1, -1.0]",5.055582392991019,58.83568261212649
"[10.0, -1.0]",0.01438108002300588,0.14437727053341487
"[10.0, -1.0]",0.01438108002300588,0.14437727053341487
"[0.5, 0.5]",0.13519872607647532,1.9500787089432452
"[6.0, -0.7]",0.005521806350835278,0.05826008616877674
