parameters,error_inf,error_2
"[1.0, 1.0]",0.0986093112647436,1.2372658424096634
"[7.0, 0.7]",0.005018413066864014,0.05992578562748867
"[5.0, 0.0]",0.00275421142578125,0.027238621265512995
"[3.0, -0.5]",0.009885046714671455,0.07823319902951817
"[0.1, 1.0]",5.4141161692837265,65.86144291094318
"[0.1, -1.0]",5.5312090252569,66.31035553563497
"[10.0, -1.0]",0.009635329246520996,0.08230795917896194
"[10.0, -1.0]",0.009635329246520996,0.08230795917896194
"[0.5, 0.5]",0.3089554218027424,4.219226884993439
"[6.0, -0.7]",0.008036475251420233,0.09964111284241378
