parameters,error_inf,error_2,error_H1
"[1, 1]",2.7771088151329337e-08,1.3063167917501044e-08,1.0042461457209114e-07
"[7, 0.7]",1.0713439163589911e-10,5.079229409136103e-11,3.889196671362305e-10
"[5, 0]",0.0,0.0,0.0
"[3, -0.5]",3.6097324435102607e-10,1.708360092479007e-10,1.3093233054928362e-09
"[0.1, 1]",3.480835801372706e-06,1.5298465074300634e-06,1.187937603477754e-05
"[0.1, -1]",3.480835801372706e-06,1.5298465074300634e-06,1.187937603477754e-05
"[10, -1]",7.095435350379375e-13,3.3654521792972247e-13,2.5760321401855036e-12
"[0.5, 0.5]",1.011267209971578e-07,4.714507913665407e-08,3.63862091778533e-07
"[6, -0.7]",1.78594063149351e-10,8.465262047425069e-11,6.482664960035453e-10
