parameters,error_inf,error_2
"[1.0, 1.0]",0.030920617282390594,0.3971103515783823
"[7.0, 0.7]",0.006677500903606415,0.02133895348770057
"[5.0, 0.0]",0.002272285521030426,0.042399259370423326
"[3.0, -0.5]",0.011309217745192848,0.11552946276772179
"[0.1, 1.0]",4.020409855716495,47.51928217029028
"[0.1, -1.0]",5.075723562114505,59.78711024187426
"[10.0, -1.0]",0.012010789564803517,0.13712865380974204
"[10.0, -1.0]",0.012010789564803517,0.13712865380974204
"[0.5, 0.5]",0.05597611855607465,0.8586054990537942
"[6.0, -0.7]",0.008873648941516876,0.05751708499509154
